CLAMODUL,NOMBRE,DESCRIPCIO,OLDNAME
119,WCOBTPV,Cobros por TPV,TPV
120,WPROCOUT,Asistente de procesos de salida.,PROCOUT
121,WCHPREC,Asistente para cambio de precios,CHPREC
122,WNORMA19,Generación de Archivo en Norma 19 CSB          ,RECIBOS
123,WGFACPER,Asistente para generación de Facturas Periodicas,
124,WNORMA58,Generación de Archivo en Norma 58 CSB (Anticipos de crédito),RECIBOS
125,WINFOSERGAR,Informes de Garantías,
126,WSELMESA,Seleccione Mesa,TPV
127,WLISEXPEDIENTES,Listados de Expedientes,
128,WMODIFORM,Modificación de formatos de impresión,MODIFORM
129,WPRINFAC,Imprimir Facturas,PRINFAC
130,WPRINORDFAC,Listados de ordenes de facturacion,ORDFAC
131,WLISTPROV,Listados de Proveedores,LISTPROVS
132,WLISTART,Listados y etiquetas de artículos,LISTART
133,WLISHOJFAB,Listados de Hojas de Fabricación,LISHOJFAB
134,WPRINPRE,Imprimir presupuestos,PRINPRE
135,WPRESUPFAB,Archivo de presupuestos con despieces.,PRESUP
136,WPRINALB,Imprimir Albaranes,PRINALB
137,WPRINPED,Imprimir pedidos,PRINPED
138,WPRINALBI,Imprimir Albaranes de Proveedores,PRINALBI
139,WPRINFACR,Imprimir Facturas Recibidas,PRINFACR
140,WPRINSERGAR,Impresión de Etiquetas de Números de Serie,
141,WLISTCTT,Listados de Contactos,CLIENTES
142,WLISLLAMADAS,Listados de Llamadas,LISLLAMADAS
143,WLISMOVI,Listado de Movimientos de Almacén,LISMOVI
144,WLISLIQCOMI,Imprimir liquidación de comisiones,LISLIQCOMI
145,WPRINESC,Imprimir ficha de escandallo,PRINESC
146,WEDITELEMENTOSALON,Editar propiedades de elemento,TPVS
147,WGRAEXPTES,Gráfico de Expedientes,
148,WREGISTRA,Confirmación de Usuario Registrado,
149,WPRECIOSZONASTACTIL,Precios por Zonas,TPVS
151,WLISRENT,Listados de Rentabilidad,LISRENT
152,WPROCIN,Asistente para procesos de Entrada,PROCIN
153,WPRSELCLIS,Imprimir selección de clientes,PRSELCLIS
154,WLISENV,Listado y etiquetas de envío,LISENV
155,WREMESAS,Remesas de efectos,REMESAS
156,WPRININV,Imprimir inventario,LISTART
157,WLRFE,Libro Registro de Facturas Emitidas,
158,WLISTSTRUCT,Listar Estructura,
159,WIMPORTCG40,Importación de datos de ClassicGes 4.0,
160,WPRINTAR,Imprimir tarifa de descuentos.,PRINTARIFAS
161,WLRFR,Libro Registro de Facturas Recibidas,
162,WASISCONF,Asistente de Configuración de ClassicGes 5.0,
164,WCHPRECIVA,Asistente para cambio de precios (IVA),
165,WPRINFTIK,Imprimir Tiket con Formato de Factura,
166,WASISBAJAS,Asistente para bajas de artículos,
167,WPARTES,Partes de Producción,
169,WLISHISTORY,Listados del Registro Histórico de Accesos,
170,WIVAFECHAS,Tipos de IVA por fechas,
171,WCOLORES,Colores,
172,WSELCOLOR,Seleccione color,
175,WLISOPR,Listados de Órdenes de Fabricación,
176,WSALIDAS,Salidas de Material,
177,WPRRESHOJ,Imprimir resúmen de Hoja de Fabircación,
178,WARTMODIF,Modificadores Artículos,
179,WOPERARIO,Archivo de operarios,
180,WNECESIDAD,Listados de necesidades,
181,WTRABAJOS,Archivo de trabajos,
182,WPRINTIK,Imprimir Tiket En impresora Gráfica,
183,WPRINTRAS,Imprimir traslado de almacén,
184,WLISVISITAS,Listados de Visitas,
185,WLISTRAS,Listado de Traslados de Almacén,
186,WLISTENV,Listar puntos de envío,
187,WPRINTCIER,Imprimir Cierre de Caja,
188,WLISPEDP,Listados de pedidos a Proveedores,
189,WCHORDFACIVA,Asistente para cambio ordenes de facturación por cambio de IVA,
190,WLISALBAI,Listados de albaranes de Proveedores,
191,WLISFACR,Listados de facturas Recibidas,
192,WPRTLABEL,Imprimir etiqueta,
193,WLISENFAB,Listados de Entradas de Fabricación,
195,WARREGLOS,Arreglos de Artículos,
200,WLISENTFAB,Imprimir Entrada de Fabricación,
202,WLISPARPRO,Listados de Partes de Producción,
203,WPRINTCOCINA,Imprimir Tiket Cocina en impresora Gráfica,
205,WPRINTCOB,Imprimir Cobro de TPV,
206,WEMAILS,Cuentas de Correo Electrónico,
210,WNORMA19_SEPA,Generación de Archivo en Norma 19 CSB SEPA,
213,WREMESASP,Remesas de recibos,
215,WNORMA34_SEPA,Generación de Archivo en Cuaderno 34-12 SEPA,
216,WPRINPREFAB,Imprimir presupuestos y despieces,
217,WEMAILHYST,Emails Enviados,
218,WLLAMADASP,Llamadas habidas con Proveedores.,
219,WIMPORTCG50,Importación de datos de ClassicGes 5.0,
220,WPRINTINFOVEN,Imprimir informe de ventas,
221,MAILTEXT,Plantillas de Email,
222,WADMONPUBLI,Admisnistaciones Públicas,
225,WLISORPRO,Imprimir Orden de Fabricación,
226,WSELCOLORMAT,Seleccione color,
227,WPRINLOTES,Informes de Garantías,
229,WMOVILOTES,Listado de Movimientos de Nº Lotes,
230,WLISSALMAT,Listados de Salidas de Material,
231,WPRINTINFOVENTPV,Imprimir informe de ventas de TPV,
232,WPRINTINFOCOM,Imprimir informe de Compras,
242,WLISVENTPV,Listado de Vendedores de TPV,
243,WDEVOLUCIONESTJT,Form2,
244,WINFORMETJT,Resumen totales tarjeta,
250,WPLANTILLAS,Archivo de Plantillas,
251,WPAGOSTPV,Pagos por TPV,
252,WVALESTPV,Archivo de vales de TPV,
253,WPRINVALES,Form2,
254,WLISTVALES,Informe de vales emitidos,
255,WVALESCFG,Configuración vales Devolucion/Promoción,
256,WWEBCOLORS,Web colores,
257,WNOTICIAS,Archivo de noticias,
260,WAJUSTES,Ajustes de la WEB,
261,WPAG_ONLINE,Páginas de la Tienda Online,
262,WZONASENV,Zonas de envios,
263,WCOSTENVIO,Metodos de envio Tienda Online,
264,WPAISES,Paises tienda Online,
265,WUNADM,Unidades administrativas,
266,WBANNER,Banners,
267,WBANNERAJUSTES,Ajustes de Banners,
268,WPLWEB,Plantillas WEB,
269,WPAQUETECOL,Paquetes de colores,
270,WCLIENTMSG,Mensajes de clientes,
271,WPRINTINFOHOJ,Imprimir informe Hojas de Fabricación,
272,WMARCAS,Archivo de Marcas/Fabricantes,
273,WPEDIDOONLINE,Archivo de Compras de la Tienda Online,
274,WOFERTAS,Lista de ofertas Tienda Online,
275,WASBLOQUES,Diseño de secciones,
276,WFOOTER,Ajustes de Pie de Pagina (Footer),
277,WMENU_ONLINE,Menu Web,
278,WPAGEDISTR,Archivo de distribuciones,
279,WMONEDAS,Ventana de monedas                             ,
280,WCARRITO,Archivo de Pedidos tienda ON LINE,
281,WAIRFUNC,Funciones Air,
282,WAIRSTORE,Archivo ventanas tienda online,
283,WASCONST,Ajustes (tecnico Web),
284,WHOMEPAGE,Configuración página principal (HOME),
285,WPRINCARRITO,Imprimir pedidos tienda ONLINE,
286,WAVISOLEGAL,"Textos legales de la tiena online (Términos y condiciones, Política privacidad,....)",
288,WINFOVEN,Informe global de ventas ,
289,WINFOVENTPV,Informe global de ventas por TPV,
290,WINFOCOM,Informe global de compras ,
291,WINFOHOJAS,Informe global de Hojas de Fabricación ,
